Word,Description
Hák (v),"to swallow the wrong way, or so as to choke, to catch one's breath"
Hakat (n),one who is aggressive
Haksam (v),to run out of rice to be dried in fireshelf
Haku (v),to have a protruding upper front teeth
Hal (v),"scold, to abuse, to reproach, upbraid"
Hal (v),"to be at enmity with, to be bitter against, to hate, to have a grudge"
Hal bur (n),one who is always being scolded
Hal lo tein (adv),"without enmity, without bitterness, without hate, with peace"
Halam (n),name of tribe
Halleluiah (n),halleluiah
Ham (n),the diaphragm
Ham (v),"to claw, to scratch, to gape"
Hamda (n),"a caul, membrane, the diaphragm"
Hamhai (v),"to be confused, to be at a loss what to do, to lose one's presence of mind"
Hamtawng (n),"in unison, in agreement with each other"
Hamthra (v),"fortunate, lucky, to be fortunate, etc"
Hana (v),toothache
Hanawtna (n),toothbrush
Hanawtna hlo (n),toothpaste
Hang (adv),denotes something on the upper side
Hàng (adj),"brown, dark complexioned, to be brown, etc"
Hâng (adj),"having a taste like meat, maize, bread, vegetables, etc"
Hangtal (n),a sub clan under Hmar Lawitlang Hrangchal
Hangthim (n),"moth, maggot"
Hani (n),the gums
Hanipuom (adj),a gumboil
Hap (v),"to bite, to snap (as a dog), to eat (as pig)"
Hap (v),a Meitei term for ‘addition after the original’
Hapta (n),"week, the week"
Hapui (n),the molar teeth
Har (v),"to wake, to become conscious"
Har (adj),"cheerful, refreshed"
Hâr (n),"the small pieces that come out when something is cut by knife, axe, etc"
Har lo (adj),"dull, sluggish, listless"
Harawt (v),to gnash the teeth
Harawtna (n),"gnash of teeth, tribulation, sufferings"
Harfim (v),"to be sober, to be awake, sober"
Harmei (n),a temporary or makeshift cooking spot outside a house
Harmei inkhuk (v),to lit fire at ‘harmei’ outside one’s house which signals that there is a community feast or family events with feast in the house
Harna (n),"a revival, an awakening, a renewal"
Harsa (adj),"difficult, to be difficult"
Harsatna (n),"difficulty, hardship"
Hatchhiau (v),"sneeze, to sneeze"
Hatkora (n),name of fruit as well as spices
Hato (n),name of tree
Hatrim (adj),to have the teeth on edge through eating acid fruit
Hau (v),"to have much, to possess much"
Hauh (v),"to reserve, to claim to"
Hauhuk (n),"a black ape, a species of gibbo"
Hausa (adj),"rich, to be rich"
Hausa tontaw (n),"super rich, millionaires"
Hausakna (n),"wealth, richness"
Hautak (v),"difficult, hard, troublesome"
Havai (n),name of a variety of peas
Havai amubi (n),fava beans
Havai ra (n),matar peas
Haver (n),a chisel made of iron
Haw (v),to borrow (when the identical article is to be returned)
Haw haw (n),a verbal note or sound of encouragement
Hawdak (adj),to look or stare at about one
Hawi (v),"to positively reply, to answer"
Hawihai (v),to look around in bewilderment and perplexity
Hawiher (n),"demeanour, movements, manner, etc"
Hawk (n),to unroof
Hawki (n),hockey
Hawl (n),hall
Hawl (v),"soothe away, to drive away"
Hawlhmang (v),"to soothe away, to drive away"
Hawlsel (v),wholesale
Hawn (v),"to take home, to bring home"
Hawng (n),"bark, shell, cover, peel"
Hawp (v),smoke
Hawphur (adj),"to be scared, afraid of"
Hawphurum (adv),"scary, fearsome, that which cannot be taken lightly"
Hawrkhawm (v),to gather
Hawrop (n),letter or character of the alphabet
Hawroppui (n),"capital letter, block letter"
Hawropte (n),small letter
Hazat um (adj),annoying
He (v),"to eat or to get through a lot (of work, food)"
Hebrai (n),hebrew
Heihah! (intjn),to make a grunting noise when carrying a load
Heikak (n),a Meitei originated term for water chesnut (found in lake and low lying marshes and also cultivated in ponds)
Hek (v),"to be consumed, to be used up"
Hêk (v),"to speak against, to slander, to accuse another"
Hêkna (n),"accusation, slander"
Hekthei lo (adj),exhaustless
Hêktu (n),"an accuser, a plaintiff, a slanderer"
Hêl (v),"to go round, to pass by, to walk round about, to walk up and down in front of"
Hel (n),"rebel, to rebel"
Helhmang (adj),"rebellious, always in the mood of rebel"
Helhol (adj),"over excited, playful"
Helhol invoi (n),one who is over excited
Hello (n),hello
Helna (n),"a rebellion, a mutiny"
Helpawl (n),rebel group
Hem (v),"to hit (as with a bough, etc when suddenly released)"
Hêm (v),"to wag, to wave about"
Hembawk (n),"a stick, a bludgeon, rod"
Hemde (v),"to nail to, to nail up, to nail down"
Hemfung (n),a stick rod or cane (esp for beating with)
Hemthluk (v),to beat or thrash to the point that the victim falls down
Hemzang (n),a splitter mostly used when cutting wood
Hen (v),"to equal to, to be equal to"
Her (n),the other half
Her (v),"to turn round, to revolve, to gin (as cotton)"
Herawt (n),a cotton gin
Herhlum (v),"to turn out, to off"
Herhnuoi (v),"to turn down (the volume), to turn down (as a lamp)"
Hersang (v),to turn up (as a lamp)
Hersawp (n),a cane or bamboo stool
Hi (prn),this
Hi chen hi (adv),up to this much
Hi hi (prn),"here, this"
Hi hin (adv),"here, at here"
Hi taka hi (adv),here
Hi taka inthok (adv),from here
Hieng (prn),these
Hieng ang hin (adv),"like this, in this manner"
Hieng hai hi (prn),"these, all these"
Hier (adj),stinging (to the tongue)
Hîk (v),"to skin, to strip off bark, etc"
Hil (adj),"nearly dry, dry on the top (as mud)"
Hilsha (n),name of a variety of fish
Him (adj),"without a flaw, unharmed, safe"
Himna (n),safety
Himtakin (adv),safely
Hin (adv),here
Hîng (adj),"sour, sour-smelling, stinking smell"
Hip (adj),extreme cold
Hip (v),"to close, to shut with hand or palm"
Hîp (v),"to attract, to suck up, to draw (a breath)"
Hîplut (v),"to inhale, to breathe in, to absorb"
Hîr (adj),sour (in taste)
Hisâp (v),"calculate, to calculate"
Hisapna (n),calculation
Histawri (n),history
Hla (n),"a song, a poem, poetry"
Hla (v),"unfinished, of that remain, to fail to eat; far, to be far"
Hla deu (adv),very far (hla deu a nih = it is very far)
Hla lem (adj),farther
Hla lenglawng (n),a song of no particular theme or genre
Hla rem (v),sing in harmony
Hla sak (v),"to sing a song, singing"
Hla tak (adj),very far
Hla thluk (n),a tune
Hla thu (n),"lyrics, poetic words"
Hlabu (n),"hymnal, hymnary"
Hlado (n),a warriors’ cry or chant
Hlado insam (v),to raise/rasing of warriors’ chant or cry
Hlak (adj),"often, always, continually, in the habit of"
Hlam (n),a measurement - the distance between the tip of the finger on the right hand to the same on the left with the arms extended
Hlam (v),to measure with the arm
Hlam (n),"the placenta, the after birth"
Hlam ek (n),the first evacuation of the bowels after birth
Hlam sam (n),the first hair at birth
Hlamha (n),the milk teeth
Hlami (n),"one who is interested in songs, poem"
Hlamsie (v),"to delay following, to remain behind and to let go, to delay finishing"
Hlamzui (n),death at birth or before 3 or 6 months
Hlan (n),"a ladder, a support from one tree to another"
Hlan (v),"to give, to offer"
Hlan sawng (v),to pass one
Hlanbiek (v),"a sacrificial worship, sacrifice"
Hlanbiekna (n),sacrifice
Hlang (adj),"without added mixture, perfectly pure"
Hláng (n),"a bier, a stretcher to carry or support"
Hlâng (v),"to raise one’s hand to hit, strike, punch, knock; to lift (across, over, up or down)"
Hlang hlak (adv),"pure, no adulteration, no other added substance"
Hlangkai (v),to lift up and put upon a higher level
Hlângva (n),a variety of ant
Hlap (n),"the fatty part on the lower rib of pigs, etc"
Hlap (v),"to hit, to beat up (with something)"
Hlapawl (n),"a group song, a choir"
Hlapawlpui (n),a choir sung by many people or voices
Hlaphuok (v),"a poem, song composed by anyone, to compose poetry or songs"
Hlaphuokthiem (n),"a poet or one who is talented or skilled in composing songs, poem"
Hlapui (n),"theme song, anthem"
Hlasak thiem (n),"singer, or one who is good in singing"
Hlatak (adj),farthest
Hlathlem (v),to not exert oneself to the full so as to make one’s antagonist or opponent win
Hlauh (adv),"happily by chance, unexpectedly"
Hlaw (n),"wages, salary, pay, remuneration"
Hlawfa (n),"to work for wages, one who works for wages, a hireling"
Hlawhlâm (n),"anything sold (by poor people who are unable to cultivate jhum) in order to make beer, tobacco, baskets, meat"
Hlawi (v),"to cut off, shear off, slash off (with lengthwise motion)"
Hlawk (v),"at a profit, cheaply, to increase (as grain)"
Hlawkna (n),"profit, gain, increment"
Hlawkpui (v),"to make a profit out of, to gain"
Hlawm (v),"to knead, matted together, in a mass"
Hlawsam (v),"to be unsuccessful, to fail to accomplish"
Hlawtling (v),"to be successful, to succeed"
Hlawtlingna (n),success
Hlawtlingtakin (adv),successfully
Hlawtlingtir (v),"to answer (as prayer), to accede to a request"
Hle (n),name of wild tree
Hle (v),"offer, being offered from one’s share"
Hle (adv),"very, fairly"
Hlei (adj),particular
Hlei lo (adj),not particularly
Hleimuolrang (n),the name of a small stripped squirrel
Hleitling (n),"well-built, above average in physique"
Hlek (n),"piece, portion, part"
Hlek (adv),"slightly, a little"
Hlek thla (adj),"leftover, piece, remains"
Hlem (v),"cheat, to cheat, lying"
Hlemhle (adj),"unreliable, dishonest, hypocritical"
Hlemna (n),"deception, trick, fraud"
Hlemthlu (v),"to successfully deceive, cheat"
Hlemtu (n),"cheater, liar, one who cheats"
Hlen (v),"to finish, to complete, to fulfil"
Hlên (v),"over, to go or pass over"
Hlep (v),"to cut off a piece, to pare"
Hlêp (v),"to make profit, to keep for one's self"
Hlêp (n),"profit, gain"
Hlephlawp (n),a variety of edible plant
Hlêpru (v),"to be untrustworthy, to keep back part of a price for one's self"
Hlet (n),"a secret exit, a subsidiary exit"
Hli (v),put around the neck
Hlie (v),"to hide from sight, to screen, to overshadow, to obscure, hidden from sight, etc"
Hliek (adv),"no added virtue, strength or power"
Hliekhu (v),"to overshadow, obscure, to hide"
Hliekhuna (n),protection
Hliem (v),"to wound, wounded"
Hliem (n),"to be wounded with blood flowing or bones broken, a fresh wound"
Hliemna (n),"wound, injury"
Hliep (v),"to shade, to give shade"
Hlieu (v),to lick (as flames do a pot)
Hlim (n),"a shadow, a shade"
Hlim (adv),"newly, freshly, just now, fresh, new"
Hlîm (v),"to turn up or lift up (as a coat sleeve, cloth, or any covering)"
Hlim (adj),"happy, joyful, to be happy"
Hlim hlol (adv),"freshly, recently, very fresh, very recent"
Hlim thei (adj),"cheerful, joyful, happy"
Hlimen (n),"looking glass, mirror"
Hlimhlop (n),"fun spree, amusement"
Hlimhmel put (n),to look happy
Hlimin (adv),"directly, immediately upon"
Hlimna (n),"happiness, merriment, joy"
Hlimsang (n),those who took Christian revival to the extreme and go astray or move out from the normal church doctrine and establish their own and almost similar with ‘cult’; ‘high revivalist’ is another term use to refer to this group of people
Hlimtakin (adv),"happily, joyfully, cheerfully"
Hlimthla (n),shadow
Hlimum (adj),"pleasing, joyful"
Hlimval (n),the noose or knot of traps that uses rope or thread
Hling (n),"a thorn, a prickle"
Hling (v),"to noose, to lasso, to tie a rope round the leg or the neck of an animal to lead it"
Hlingchaiche (n),tweezer (for extracting thorns)
Hlingdai (n),name of thorny plant commonly used as fencing
Hlingkhang (n),"a species of mimosa, the bark of which is used for poisoning fish"
Hlinglukhum (n),crown of thorns
Hlingsie (n),the soap-nut tree (the fruit is used for washing and as a preventative against leech bites)
Hlingtheithur (n),a variety of shrub or grass
Hlingthing (n),a variety of thorny plant
Hlingthufîr (n),a variety of edible plant
Hlingtlum (n),a variety of wild tree
Hlip (v),to divide or separate one kind from another
Hlîp (v),"to take off (as a coat), to remove (as a cloth)"
Hlîr hlak (adv),exclusively (of a particular item)
Hlo (n),"a drug, a medicine, a weed or a wild plant growing where it is not wanted and in competition with cultivated plants"
Hlo ni en (n),"the name of a plant the shoots of which incline towards the sun, sunflower"
Hlo rimsie (n),name of a flowery weed
Hlo thlo (v),"to weed, to clear weeds of jhum, paddy field or garden"
Hlo thun (v),loaded (as a gun)
Hlobet (n),"grass, short weeds"
Hlohna (n),"weed, grass leaf"
Hlol (adv),just
Hlol nawh (adv),"not at all, not in the slightest"
Hlom (adj),"in numbers, also has the idea of many, or in bundle"
Hlonuor (n),the touch me not plant
Hlop hlop (adv),to weep or cry or groan or tremble or pant with
Hlu (adj),"valuable, to be valuable, precious"
Hlu (v),to take in
Hlu khum (v),a young woman entering a man’s house to be his wife; to forcefully enter into someone’s placed uninvited
Hlu suok (v),to lay siege and drove out the inhabitants
Hluhlâng (v),to presume upon or take unreasonable advantage of the forbearance or good nature of another; to be spoilt (as a child)
Hlui (adj),"old, not new, to be old"
Hlui (v),"to offer, being offered (food, etc)"
Hluihlam (v),"to put aside (as of no further use or to do another time or for someone else to do; disuse, discard"
Hlukhum (v),"to enter a house or land with the intention of killing, assaulting, or quarrelling with its inmates"
Hlulut (v),"taking in, absorbing it"
Hlum (v),to roll
Hlum (adv),affix signifying 'dead' (vuokhlum=beaten to dead; kaphlum=shot dead; hmethlum=to switch off)
Hlûm (adj),of rounded shape (like ball)
Hlumpiel (n),a variety of wild arum plant
Hlumpuol (n),a variety of moth insect
Hlun (adj),of permanent and regular one
Hluo (v),"to occupy, to take possession of, to enter into possession of"
Hluolan (v),"to supersede, to take the place of"
Hluor (v),that something occurs more regular than normal time
Hlutna (n),"value, worth"
Hlutsak (adj),"to recognise, to pleasure in"
Hma (n),"in the front, before"
Hma (adv),"early soon, in front, before, prior to, ahead of"
Hma bulah (adv),"just in front of, before the face"
Hma chu (conj),"until, till"
Hma in (adv),"in front, before, prior to"
Hma naw chu (adv),"until and unless, till"
Hmaah (adv),"in front of, before, ahead"
Hmabak (v),"to have work on hand (to do or go), to have awaiting one in the future (to do or go)"
Hmabak inko (v),a tough prospect or future
Hmai (n),the face
Hmai inza (v),to respect someone (presence)
Hmai phi (v),washing the face
Hmaifai (v),to have a good face
Hmaifai tum (v),to wish to gain favour
Hmaifaina (n),that which is used for one’s advantage
Hmaih (v),"to overlook, to miss out, to left out"
Hmaih (adj),"overlooked, missed, omitted"
Hmaimawk (v),"to be in a sorry situation, to do something wrong and be exposed"
Hmaiphi (n),name of a variety of wild tree (the leaf of which is used to wrap fermented soyabeans)
Hmaiphum tui inhlieu (n),a swim with the face under water
Hmaisa tawng (v),to meet someone when they are angry or in bad mood
Hmaisan (adj),face to face
Hmaisanah (adv),"to the face, face to face"
Hmaithinghawng (n),"brazen-faced, to be brazen-faced, to put a bold face upon anything"
Hmaituom (n),"a face mask, a covered face"
Hmaizap (n),a fan
Hmakhal (v),"to get in front of, to be ahead of, to preceded"
Hmakhuo (n),"one’s interest, benefit, advantage"
Hmakhuongai (v),"to scheme, plan or work for the sake of"
Hmal (v),plucking of (something from the main body)
Hmalak (v),to take initiative
Hmalakna (n),initiatives
Hman (v),"to have leisure, to be ready for a specific work or purpose"
Hman chu (n),"on the contrary, instead, on the other side"
Hmang (v),"to use, to spent"
Hmang (adv),in the habit of
Hmâng (adj),"great, well to do, above average"
Hmang ral (v),"to spend, to used up, to expend"
Hmangai (v),"to love, to like, to be fond of"
Hmangaina (n),"love, charity"
Hmangkhaw (n),clearing of the unburnt woods after a jhum is burnt and re-burn it if needed
Hmangna (n),"expenses, expenditure"
Hmangnabo (adj),useless
Hmangruo (n),"materials for building, requisites, tools, instruments, etc"
Hmangtlak (adj),useful
Hmangtlak lo (adj),useless
Hmângva (n),name of a species of bird
Hmar (n),"a Hmar, the north"
Hmar am (n),one of the oldest Hmar traditional cloth usually worn above the knee
Hmar arasi (n),"the pole star, the north star"
Hmar Lusei (n),name a Hmar clan
Hmar tieng (adj),northwards
Hmarcha (n),"a chilli, a pepper"
Hmarchadeng (n),a crushed chilly and other edible items which is an important part of Hmar cusine
Hmarchapui (n),capsicum
Hmarchate (n),"a variety of small but very hot chilly, the pimento"
Hmarchatui (n),liquefied chilly or pepper
Hmarhleng (n),a variety of wild tree
Hmarpuon (n),a colourful Hmar shawl worn by ladies
Hmarram (n),land of Hmars (mostly refer to the one in south-west Manipur)
Hmarsak (n),the north-east
Hmarsak thlipui (n),"a hurricane northeaster, euroclydon"
Hmarthlang (n),the north-west
Hmartuolsi (n),the Cassiopeia
Hmasa (v),"in front, before, front, first"
Hmasak tir (v),"to let go in the front, to put up in the front"
Hmasatak (adj),"first, foremost"
Hmasawn (v),"to progress, to move forward, to advance"
Hmasawnna (n),progress
Hmasiel (adj),selfish
Hmasuon (v),to face
Hmasuon (v),"to encounter, which one encounter"
Hmat (adj),"sticky, splattered"
Hmatawng (v),"to take the lead, to be on the upfront"
Hmathe (v),"put in the upfront, a precursor"
Hmathlak (n),to carry a child on the front
Hmathlîr (n),vision
Hmathruoi (v),"to pioneer, to go before, to lead the way, to take the lead (in work, etc.)"
Hmathruoitu (n),"a pioneer, a forerunner, a leader"
Hmatiem (v),"one by one in regular order, in a systematic manner"
Hmatieng (n),"front, towards the front"
Hmawl (n),"a small piece or stick of wood, cane, bamboo, etc"
Hmawn (adj),decay
Hmawng (n),a species of Indian fig tree
Hmawnglor (n),the edible bud of Indian fig tree
Hmawr (adj),"border, edge, point, end, tip"
Hmawsarum (v),"all of a sudden, to give no time for preparation"
Hmazawn (adj),just in front of the face
Hmazawnah (adv),"opposite to, straight in front of"
Hme (n),curry
Hme haihaw (n),a curry spoon
Hmei (n),a concubine
Hmei hmuoi (adv),"blurred looking, not clear or tidy in appearance"
Hmeithai (n),"a widow, divorced woman living by herself or with her children"
Hmeithai khuoa tilte zawng (phrase),searching something which is rare or not easily available or founded
Hmeithai nau (n),children of a ‘hmeithai’
Hmel (n),"face, appearance, shape, form, figure"
Hmelhem (adj),"blemished, deformed, disfigured, spoiled"
Hmelhem lo (adj),"unblemished, without disfigurement"
Hmelhriet (n),"to recognise, to be acquainted with, to know by sight"
Hmelhriet lo mi (n),"a stranger, unknown person"
Hmelhriet tir (v),to introduce someone to another someone
Hmelhrietmi (n),"an acquaintance, a slight acquaintance"
Hmelma (n),"an adversary, an enemy"
Hmelma kumhlun (n),eternal foe
Hmelsie (adj),an ugly person
Hmelsietlai (n),the time when a family is having meal
Hmeltha (adj),"good-looking, beautiful, pretty, handsome"
Hmepok (n),"porridge, a favourite Hmar dish of meat or some vegetables cooked with rice"
Hmer (v),"to grasp tightly, to squeeze, to encircle with the fingers"
Hmeruo (n),vegetable
Hmet (v),"to feel, to pinch, to squeeze, to knead"
Hmet ri (n),to snap the fingers
Hmetheikhuong (n),a container usually of bamboo or gourd
Hmethlum (v),"to switch off (lamp, light, etc)"
Hmin (adj),"ripe, cooked, mature, to be ripe, etc"
Hmin (v),"to subjugate, to be subjugated"
Hming (n),name
Hming hlieu (v),"to be disgraced, to lose one's good name"
Hming inthang (adj),"famous, renown"
Hming mang mangin (adj),just for the namesake
Hming se van ur (phrase),spoil or defame of the most extreme
Hming suksiet (v),"to give one a bad name, to disgrace"
Hming tehlem (n),a nickname
Hmingin (adv),"in the name of, on behalf of"
Hminglem (n),a nickname
Hmingphuok (v),giving of name
Hmingsal (v),"to take the name of another, to call one's self by another's name"
Hmingsalin (adv),falsely in the name of
Hmingsie (adj),"to be disgraced, to lose one's good name"
Hmingthang (adj),"famous, renowned, to be famous, renowned"
Hmingthlir (n),a raised platform set near ‘zawllung’
Hmingthra (n),"a real name of true name given at birth, reported or spoken well of"
Hmintruo (adj),fully ripe
Hmol (n),"a small piece or stick of wood, cane, bamboo, etc"
Hmoltum (n),"a club, a mallet"
Hmon (adj),decay
Hmor (adj),"border, edge, point, end, tip"
Hmu (v),"to see, to get, to receive, to find"
Hmu hmaih (adv),failed to meet or see
Hmu thiemlo (v),to not understand
Hmûi (n),"a spinning machine, a charkha"
Hmûi (adj),"savoury smelling, strong smelling (as burning feathers, fat, etc.)"
Hmuichal (n),a variety of wild tree
Hmuihmer (n),"anything fried, fried foods"
Hmuingil (adj),"prosperous, successful"
Hmuingilna (n),prosperity
Hmuithal (n),a cotton spindle worked with a wheel
Hmuithla (n),a ghost believed to be having the looks of a human but could not be seen in reality and believed to be the spirit of the deads
Hmuk (n),name of an edible creeper with big leaf
Hmul (n),"hair, fur, wool, feathers"
Hmul hau (adj),hairy
Hmul phawina (n),a tweezer for pulling out hairs
Hmul thi (n),small hairs on the body
Hmul thi inding (v),sprouting of hairs of the body due to extreme fear
Hmul vawna (n),a shaving blade
Hmun (n),"place, kind, sort, part, site"
Hmun awl (n),"a vacant place, vacancy"
Hmun inkien (v),"to make room for, to give space for"
Hmun ralmuong (n),"a place of safety, a place free from danger"
Hmun serh (n),"sacred place, haunted place, a place abandoned"
Hmunah (n),on the premises
Hmunhnok (n),"dirt, filth, refuse"
Hmunhring (n),a Hmar Biete sub clan
Hmunkhat (adj),"alike, the same"
Hmunphi (n),"a broom, the name of a grass from which brooms are made"
Hmunphit (v),to sweep
Hmunphittu (n),sweeper
Hmunuom (n),"a show, a spectacle, a pageant"
Hmunuomun (adj),"pleasing to the eye, interesting to watch"
Hmuo (n),the name of a creeper plant the leaf of which is often use to dye locally produce cotton reels
Hmuok (n),"to meet, to go to meet anyone"
Hmuom (n),"to chew (as tobacco), to suck in the mouth, to retain in the mouth"
Hmuomsom (n),a dispersable light refreshment
Hmuomtelel (n),a baby’s comforter (for sucking or biting)
Hmuor (n),"mildew, mould"
Hmur (n),"point, end, tip, prow; the upper lip, bill, beak"
Hmurduk (n),a variety of wild strawberry fruit
Hmurhmul (n),the moustache
Hmurkuong (n),name of small edible fruit bearing wild plant
Hmurpilip (n),talkative
Hmurthiem (adj),"eloquent, articulate, good orator"
Hmusie (v),to get an unfavourable impression of
Hmusit (v),"to despise, look down upon"
Hmusittu (n),one who despise someone
Hmusuok (v),to discover
Hmusuoktu (n),discoverer
Hmusuol (v),to see mistakenly for something else
Hmutheilo (v),"invisible, unseeable"
Hmuthra (v),to be fortunate and get good specimen of anything
Hmutu (n),"one who sees, an eye-witness"
Hna (n),an anna; a leaf
Hna khat (n),"single, unmarried"
Hna thar (n),new leaf
Hnachang (n),the name of a wild banana plant
Hnachang kawr (n),the stem of wild banana plant that also serves as vegetable
Hnachang vûi (n),the bud of wild banana plant that also serves as vegetable
Hnachangzik (n),the young bud of wild banana plant
Hnafanthing (n),a variety of wild tree
Hnahkhat (n),an unmarried young lady
Hnahlui tril (v),falling of old leaves; dead of the older generations
Hnahlun (n),a species of Indian fig tree
Hnâi (n),"the various types of a single juice, sap, pus"
Hnai (v),"to get close to, to be near"
Hnai (adj),near
Hnai la (v),to form a puss
Hnaisailo (adj),"useless, worthless"
Hnakep (n),name of a creeping plant the leaf of which is useful for anti-snake venom
Hnakhar (n),a variety of wild tree
Hnakhar (n),the name of a bulbous plant with but one leaf
Hnakhat (adj),"single, unmarried"
Hnakhawr (n),a species of small tailor bird
Hnam (n),"tribe, clan, a strap passing across the forehead to carry loads; a knitted cane or bamboo split used for carrying a traditional basket"
Hnâm (v),"to hate, to dislike"
Hnam dang (n),"another tribe, clan"
Hnam hmelma (n),traitors
Hnam hnufuol (n),a backward tribe or clan
Hnam kaupeng (n),a sub-tribe or clan
Hnam lak tla (n),one who living amongst people of different tribe or clan or race as individual or as family
Hnam pawt pawt (v),"to hate, to dislike, to make to feel sick, to make one turn against even to the point of nauseating"
Hnam um (adv),"objectionable, bad, rude"
Hnambing Thiempu (n),clan priest
Hnamchom (n),"a clan of the common people, backward tribe"
Hnamdang (n),another tribe or clan or nation or race
Hnamdang trong (n),a foreign language
Hnamte (n),a Hmar Thiek sub clan
Hnamtur (adj),poisonous substance that can be inhaled
Hnang (adj),"foolish, not wise; speechless with pain, overwhelmed with pain, to be speechless with pain"
Hnâng (n),a bamboo or cane split for making other objects or for tying
Hnâng (adj),"sticky, semi-liquid"
Hnânglukhum (n),a hat made from cane
Hnangvara khit (v),to be able to somehow manage to convince someone
Hnap (n),mucus from the nose
Hnaphnit (v),to blow the nose
Hnapkawn (n),"a land snail, the skink"
Hnapkhawnral (n),the name of an insect supposed to be the special enemy of slugs
Hnapkhir (n),a dry mucus of the nose
Hnapsawn (v),to sniff up through the nose
Hnapthleng (n),the upper lips just below the hollows of the nose
Hnapuithing (n),a variety of wild tree
Hnar (v),"to deny admission, to forbid to come, pass, to not welcome or receive"
Hnár (n),"the nose, the source of a stream"
Hnár kawn (n),the indentation just above the nose
Hnár kem (n),to have a turned-up nose
Hnár kir (v),"to repulse, to rebuff, to turn away"
Hnár kul (n),to have an aquiline nose
Hnár kuo (n),the nostrils
Hnár per (n),one with a flat nose
Hnar ping (v),stuffiness of nose
Hnár trok (v),one with a big nose
Hnár var (adj),to be keen-scented
Hnathak (n),the name of a creeper
Hnathap (n),the name of a tree with very rough leaf
Hnathiel (n),the name of a wild plant the leaves of which is large and often used for wrapping foods
Hnathlak (n),"descendants, tribe"
Hnatlang (v),"community labour, work done by public, a social work"
Hnatrawl (n),dry leaf
Hnaw (v),"to fill in (as a hole), to insert, to tamp"
Hnawk (v),to push or sweep on one side; to aggressively make other accept
Hnawkbum (v),to push or sweep from different corners to one centre place
Hnawl (v),reject
Hnawm (adj),outskirt
Hnawm tin phur (n),one who took all the negative vibes and accusations
Hnawmsuok (v),"to answer nature’s call, to want to relieve stool"
Hnawng (adj),"damp, moist"
Hnawping (v),to fill in
Hnawpuom (v),to fill
Hnawt (v),chase
Hnawtsuok (v),"drive away, banish"
Hne (v),"to win, to overcome"
Hnechong (n),a sub clan of Hmar Lusei
Hnek (v),to strike or punch with the knuckles
Hnem (v),to comfort
Hnemtu (n),comforter
Hnena (n),"victory, triumph"
Hnephnawl (n),"refuse, rubbish"
Hner (n),the lower lip
Hnerhmul (n),the moustache
Hnesaw (v),"to despise, to treat with contempt"
Hnesie (adj),"oppressed, subjected to harsh treatment"
Hnetu (n),"victor, a winner, conqueror"
Hni (n),two
Hni (v),request
Hniek (n),"a foot-print, a track"
Hniekhnung (n),"a foot print, a track"
Hniekhnung zui (v),to follow someone else’ footstep
Hnienghnar (adj),having in abundance (for eat and drink)
Hnienghnartakin (adv),abundantly
Hnimchier (adj),"a whole day rain, raining all day"
Hnimhlum (n),anaesthesia
Hnina (n),application
Hning (v),"to shake, to wave"
Hningzu (n),poetical term for ‘zu’
Hnip (adj),soft
Hnok (adj),"to be obstructed, to be encumbered, to be in the way"
Hnoksak (v),"obstructive, in the way, to be obstructive, etc"
Hnong (adj),"to be refused admission, to be excommunicated"
Hnongtir (v),"to send away, to forbid to enter or to come near, to excommunicate"
Hnot (v),to drive away
Hnotdok (n),"to drive out, to expel, to banish"
Hnotsuok (n),"to drive out, to expel, to banish"
Hnufuol (v),"to be lagging behind, to linger behind"
Hnuhma (n),"a mark, a trace"
Hnuk (n),"the throat, the gullet"
Hnûk (v),"to pull, to drag"
Hnuk chat (adj),an imaginary cord which is supposed to snap at death; to die
Hnuk dawng (adv),to live poorly
Hnuk hrawl (n),"robust throat, one who is having careless food habit"
Hnuk hrui satchat (adv),snatching somebody’s lifeline or source of living
Hnuk sukdawng (adv),to deprive one's self of food
Hnuk suktlai (adv),to pamper one's self with all kinds of food
Hnuk tlai (v),to live well or sumptuously
Hnukbawk (n),the throat
Hnukna (n),tonsillitis
Hnung (n),"the back, after, behind, afterwards"
Hnung sui (v),"to trace from the track, to trace from the footprint"
Hnung thuol (adj),"the backsweep, those that comes behind and clean up, the rear guard"
Hnung tieng (adv),"behind, backward, afterwards"
Hnung tieng mit nei ang (n),one who is watchful and cautious and cannot be cheated
Hnung zui (v),to follow
Hnungah (prep),"after, behind, subsequent to"
Hnungkhir (v),to tie the hands behind the back
Hnungsawn (v),to turn the back to
Hnungtawl (v),"to fall back, to backtrack"
Hnungtol (v),"to retreat, walk or move backwards"
Hnungzang (n),the back
Hnungzui (n),"a fellow traveller, a follower"
Hnungzuitu (n),follower
Hnuoi (n),earth
Hnuoi (adj),the underneath
Hnuoi inlettu (n),"earth tiller, farmer, cultivator"
Hnuoi le van (n),heaven and earth
Hnuoi tieng (n),"beneath, under"
Hnuoiah (prpn),"beneath, below, under"
Hnuoihnung (adj),lower
Hnuoihnung lem (adv),lower
Hnuoihnung tak (adv),"lowest, undermost"
Hnuoileng (n),those that walks and crawl
Hnuoisie (v),to look down upon
Hnuolsuot (v),"to disapprove of, to not like; to be dissatisfy with"
Ho (adj),"abrupt, impulsive, without much reason"
Hockey (n),hockey
Hoi (adj),seems to (look alike)
Hoihai (v),to look around in bewilderment
